danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,user
0.689,0.338,11,-7.634,0,0.0629,0.349,5.7e-5,0.0649,0.568,128.012,audio_features,0rRjGruFonCGOt0S5zAJNQ,spotify:track:0rRjGruFonCGOt0S5zAJNQ,https://api.spotify.com/v1/tracks/0rRjGruFonCGOt0S5zAJNQ,https://api.spotify.com/v1/audio-analysis/0rRjGruFonCGOt0S5zAJNQ,320654,4,The Other Side Of Paradise,0rRjGruFonCGOt0S5zAJNQ,Jillian
0.487,0.369,11,-13.424,0,0.0406,0.736,3.75e-5,0.0925,0.106,183.114,audio_features,1gk3FhAV07q9Jg77UxnVjX,spotify:track:1gk3FhAV07q9Jg77UxnVjX,https://api.spotify.com/v1/tracks/1gk3FhAV07q9Jg77UxnVjX,https://api.spotify.com/v1/audio-analysis/1gk3FhAV07q9Jg77UxnVjX,289307,4,Gooey,1gk3FhAV07q9Jg77UxnVjX,Jillian
0.688,0.592,1,-8.759,1,0.0347,0.352,3.31e-6,0.11,0.394,149.998,audio_features,1qRabaD5y56JZzQSm4qB0n,spotify:track:1qRabaD5y56JZzQSm4qB0n,https://api.spotify.com/v1/tracks/1qRabaD5y56JZzQSm4qB0n,https://api.spotify.com/v1/audio-analysis/1qRabaD5y56JZzQSm4qB0n,193600,4,Peanut Butter Waffles,1qRabaD5y56JZzQSm4qB0n,Jillian
0.689,0.508,2,-8.591,1,0.0464,0.576,2.13e-5,0.109,0.801,126.144,audio_features,6CERQEREymrkfmL3sWai1V,spotify:track:6CERQEREymrkfmL3sWai1V,https://api.spotify.com/v1/tracks/6CERQEREymrkfmL3sWai1V,https://api.spotify.com/v1/audio-analysis/6CERQEREymrkfmL3sWai1V,220187,4,In My Baby's Arms,6CERQEREymrkfmL3sWai1V,Jillian
0.635,0.3,2,-13.957,0,0.0285,0.707,0.829,0.574,0.772,91.452,audio_features,4AKUOaCRcoKTFnVI9LtsrN,spotify:track:4AKUOaCRcoKTFnVI9LtsrN,https://api.spotify.com/v1/tracks/4AKUOaCRcoKTFnVI9LtsrN,https://api.spotify.com/v1/audio-analysis/4AKUOaCRcoKTFnVI9LtsrN,218307,4,White Gloves,4AKUOaCRcoKTFnVI9LtsrN,Jillian
0.864,0.622,1,-7.381,0,0.0316,0.41,0.119,0.146,0.961,103.667,audio_features,1TukRKY5RZzYHVNrwz0L9B,spotify:track:1TukRKY5RZzYHVNrwz0L9B,https://api.spotify.com/v1/tracks/1TukRKY5RZzYHVNrwz0L9B,https://api.spotify.com/v1/audio-analysis/1TukRKY5RZzYHVNrwz0L9B,344200,4,This World Should Be More Wonderful,1TukRKY5RZzYHVNrwz0L9B,Jillian
0.706,0.915,1,-3.169,1,0.0535,0.00742,1.1e-6,0.0343,0.872,114.992,audio_features,6YoYLN155MLavQcl3bHmvY,spotify:track:6YoYLN155MLavQcl3bHmvY,https://api.spotify.com/v1/tracks/6YoYLN155MLavQcl3bHmvY,https://api.spotify.com/v1/audio-analysis/6YoYLN155MLavQcl3bHmvY,224667,4,The Boys Are Back,6YoYLN155MLavQcl3bHmvY,Jillian
0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-6,0.0684,0.402,94.018,audio_features,2etHQJxIbV0soyPhelVs9Y,spotify:track:2etHQJxIbV0soyPhelVs9Y,https://api.spotify.com/v1/tracks/2etHQJxIbV0soyPhelVs9Y,https://api.spotify.com/v1/audio-analysis/2etHQJxIbV0soyPhelVs9Y,155884,4,Best Friend (feat. Doja Cat),2etHQJxIbV0soyPhelVs9Y,Jillian
0.237,0.0859,3,-22.479,1,0.0364,0.985,0.899,0.133,0.174,167.501,audio_features,6IWbqyzwXOcZfL2OCxvfph,spotify:track:6IWbqyzwXOcZfL2OCxvfph,https://api.spotify.com/v1/tracks/6IWbqyzwXOcZfL2OCxvfph,https://api.spotify.com/v1/audio-analysis/6IWbqyzwXOcZfL2OCxvfph,161258,3,Dreamland - Solo Piano Version,6IWbqyzwXOcZfL2OCxvfph,Jillian
0.212,0.383,10,-10.071,1,0.0347,0.723,0,0.299,0.452,173.79,audio_features,0KOE1hat4SIer491XKk4Pa,spotify:track:0KOE1hat4SIer491XKk4Pa,https://api.spotify.com/v1/tracks/0KOE1hat4SIer491XKk4Pa,https://api.spotify.com/v1/audio-analysis/0KOE1hat4SIer491XKk4Pa,191160,3,A Change Is Gonna Come,0KOE1hat4SIer491XKk4Pa,Jillian
